,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
0,5,547.41,0.0,15.42,62.23,17.41,83.26,90.25,10.01,2020-12-02 00:30:00
1,5,547.41,0.0,14.57,52.93,15.5,85.47,92.45,10.64,2020-12-02 01:30:00
2,5,560.76,0.0,13.71,46.49,14.66,90.58,97.68,10.77,2020-12-02 02:30:00
3,5,554.09,0.0,12.0,43.27,14.66,94.05,101.2,10.64,2020-12-02 03:30:00
4,5,547.41,0.0,10.71,39.34,13.23,95.62,102.83,10.64,2020-12-02 04:30:00
5,5,547.41,0.0,10.28,33.62,11.56,96.16,103.42,10.77,2020-12-02 05:30:00
6,5,560.76,0.01,11.14,26.11,9.66,98.16,105.66,10.51,2020-12-02 06:30:00
7,5,600.82,0.29,13.88,16.99,7.39,96.47,104.66,11.27,2020-12-02 07:30:00
8,5,627.52,2.54,13.02,22.17,7.21,97.28,105.94,10.77,2020-12-02 08:30:00
9,5,487.33,1.05,7.88,89.41,30.99,102.18,109.36,3.58,2020-12-02 09:30:00
10,5,453.95,1.08,7.03,114.44,38.62,98.36,105.59,3.36,2020-12-02 10:30:00
11,5,440.6,0.98,6.68,138.76,48.16,103.51,110.98,2.82,2020-12-02 11:30:00
12,5,343.8,0.94,6.68,155.93,59.61,89.19,95.15,0.14,2020-12-02 12:30:00
13,5,307.08,0.45,3.73,163.08,46.25,80.09,85.06,0.0,2020-12-02 13:30:00
14,5,303.75,0.31,3.13,170.23,43.39,82.69,87.72,0.0,2020-12-02 14:30:00
15,5,333.79,0.4,4.97,161.65,39.1,89.8,95.35,0.3,2020-12-02 15:30:00
16,5,397.21,0.43,9.25,140.19,32.9,96.68,103.1,3.14,2020-12-02 16:30:00
17,5,467.3,0.11,14.91,117.3,27.18,102.38,109.67,5.83,2020-12-02 17:30:00
18,5,567.44,0.0,21.25,92.98,22.41,108.9,117.47,8.61,2020-12-02 18:30:00
19,5,654.22,0.0,26.05,71.53,17.64,115.15,125.0,10.89,2020-12-02 19:30:00
20,5,707.63,0.0,27.42,59.37,14.66,119.48,130.26,11.65,2020-12-02 20:30:00
21,5,741.01,0.0,27.42,54.36,13.35,123.76,134.88,11.78,2020-12-02 21:30:00
22,5,741.01,0.0,25.36,57.22,14.31,124.69,135.58,11.02,2020-12-02 22:30:00
23,5,687.6,0.0,20.22,68.67,16.69,122.99,133.06,9.5,2020-12-02 23:30:00
24,5,620.84,0.0,15.25,75.82,16.93,119.31,128.33,8.61,2020-12-03 00:30:00
25,5,600.82,0.0,13.71,67.23,13.47,117.75,126.65,9.5,2020-12-03 01:30:00
26,5,600.82,0.0,12.85,58.65,10.13,117.12,126.14,10.51,2020-12-03 02:30:00
27,5,600.82,0.0,11.82,50.78,7.33,116.78,125.92,11.53,2020-12-03 03:30:00
28,5,594.14,0.0,10.63,46.49,5.54,117.0,126.02,11.78,2020-12-03 04:30:00
29,5,587.46,0.0,9.85,43.63,4.77,120.29,129.19,11.27,2020-12-03 05:30:00
30,5,594.14,0.0,10.71,40.41,4.89,125.09,134.22,11.53,2020-12-03 06:30:00
31,5,620.84,0.22,13.88,33.62,4.65,123.46,133.06,12.41,2020-12-03 07:30:00
32,5,607.49,1.79,13.2,40.05,4.53,112.13,121.27,11.78,2020-12-03 08:30:00
33,5,453.95,0.99,6.51,89.41,7.15,79.54,85.6,8.23,2020-12-03 09:30:00
34,5,453.95,0.99,5.74,105.86,8.35,74.97,80.73,8.36,2020-12-03 10:30:00
35,5,460.63,0.76,4.93,127.32,12.28,79.93,85.95,7.54,2020-12-03 11:30:00
36,5,380.52,0.89,6.43,161.65,48.16,91.32,97.17,0.94,2020-12-03 12:30:00
37,5,347.14,0.48,4.11,177.38,41.96,91.42,96.7,0.0,2020-12-03 13:30:00
38,5,340.46,0.36,3.64,188.83,39.1,93.33,98.5,0.0,2020-12-03 14:30:00
39,5,363.83,0.46,5.57,178.81,35.29,96.32,101.85,1.24,2020-12-03 15:30:00
40,5,417.23,0.5,9.94,157.36,29.33,100.22,106.41,4.37,2020-12-03 16:30:00
41,5,480.65,0.14,15.94,133.04,24.56,102.1,109.05,6.65,2020-12-03 17:30:00
42,5,567.44,0.0,21.59,107.29,21.22,104.45,112.4,8.87,2020-12-03 18:30:00
43,5,634.19,0.0,25.71,85.12,17.88,107.26,116.5,10.64,2020-12-03 19:30:00
44,5,674.25,0.0,26.73,67.95,14.78,109.1,119.38,11.65,2020-12-03 20:30:00
45,5,707.63,0.0,27.08,57.22,13.23,111.56,122.42,12.16,2020-12-03 21:30:00
46,5,707.63,0.0,25.02,55.08,13.83,112.42,123.15,11.78,2020-12-03 22:30:00
47,5,654.22,0.0,20.56,59.37,14.42,107.73,117.53,10.77,2020-12-03 23:30:00
48,5,594.14,0.0,15.59,63.66,12.88,101.79,110.55,9.88,2020-12-04 00:30:00
49,5,574.11,0.0,13.88,59.37,10.13,99.79,108.2,10.51,2020-12-04 01:30:00
50,5,567.44,0.0,12.85,55.08,8.23,100.0,108.53,11.27,2020-12-04 02:30:00
51,5,560.76,0.0,11.48,51.5,6.56,100.3,109.06,11.78,2020-12-04 03:30:00
52,5,547.41,0.0,10.03,49.35,5.36,100.55,109.54,11.91,2020-12-04 04:30:00
53,5,540.73,0.0,9.68,45.42,4.89,102.01,111.1,12.03,2020-12-04 05:30:00
54,5,554.09,0.0,11.31,39.34,5.01,103.85,113.29,12.41,2020-12-04 06:30:00
