,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
0,5,934.6,0.0,28.1,20.74,5.07,118.95,137.5,22.55,2020-12-02 00:30:00
1,5,867.84,0.0,24.68,19.49,4.23,117.01,134.39,26.6,2020-12-02 01:30:00
2,5,827.79,0.01,22.28,18.42,3.93,115.91,132.59,30.91,2020-12-02 02:30:00
3,5,794.41,0.01,19.19,17.17,3.58,115.64,131.85,31.92,2020-12-02 03:30:00
4,5,761.03,0.02,15.77,15.2,2.8,115.15,130.19,24.07,2020-12-02 04:30:00
5,5,741.01,0.04,13.37,12.7,1.94,115.06,129.28,12.92,2020-12-02 05:30:00
6,5,741.01,0.17,12.68,9.57,1.62,114.57,128.55,6.08,2020-12-02 06:30:00
7,5,794.41,0.96,14.57,7.15,2.47,118.28,134.01,7.09,2020-12-02 07:30:00
8,5,834.47,3.97,13.88,16.63,4.11,123.66,140.31,10.26,2020-12-02 08:30:00
9,5,547.41,0.84,6.6,90.84,15.5,115.1,125.7,3.29,2020-12-02 09:30:00
10,5,500.68,0.61,4.71,121.59,17.64,107.91,118.03,3.14,2020-12-02 10:30:00
11,5,487.33,0.42,3.6,150.2,19.07,110.12,120.47,3.64,2020-12-02 11:30:00
12,5,367.17,0.26,2.42,171.66,17.17,89.26,97.04,0.78,2020-12-02 12:30:00
13,5,327.11,0.22,2.12,177.38,16.93,80.9,87.34,0.01,2020-12-02 13:30:00
14,5,320.44,0.22,2.57,185.97,19.55,80.1,86.31,0.0,2020-12-02 14:30:00
15,5,360.49,0.41,5.83,180.24,21.22,84.4,91.47,2.34,2020-12-02 15:30:00
16,5,453.95,0.52,12.85,164.51,23.13,92.99,101.93,5.95,2020-12-02 16:30:00
17,5,567.44,0.14,22.28,143.05,26.94,101.36,111.8,8.36,2020-12-02 17:30:00
18,5,741.01,0.0,34.62,108.72,29.8,111.68,124.45,11.78,2020-12-02 18:30:00
19,5,907.9,0.0,42.84,78.68,27.66,123.42,139.1,14.57,2020-12-02 19:30:00
20,5,961.3,0.0,41.81,62.94,21.94,133.36,151.15,14.95,2020-12-02 20:30:00
21,5,907.9,0.0,35.3,56.51,16.93,139.23,158.18,14.44,2020-12-02 21:30:00
22,5,847.82,0.0,29.13,50.78,13.71,141.61,161.03,14.82,2020-12-02 22:30:00
23,5,794.41,0.0,25.02,45.78,11.33,142.62,161.34,16.09,2020-12-02 23:30:00
24,5,741.01,0.0,21.42,44.35,10.37,141.86,158.71,17.99,2020-12-03 00:30:00
25,5,720.98,0.0,19.54,43.99,10.49,144.02,159.71,22.8,2020-12-03 01:30:00
26,5,727.65,0.0,19.36,41.84,10.25,147.07,162.52,29.39,2020-12-03 02:30:00
27,5,754.36,0.0,19.71,39.34,10.73,152.95,168.64,36.48,2020-12-03 03:30:00
28,5,767.71,0.0,19.71,37.91,11.21,157.6,173.05,42.05,2020-12-03 04:30:00
29,5,774.38,0.0,19.71,35.41,10.25,157.91,172.9,44.58,2020-12-03 05:30:00
30,5,787.74,0.01,20.39,28.61,8.46,157.04,172.03,39.52,2020-12-03 06:30:00
