,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
0,5,1148.22,9.95,28.79,0.02,1.91,118.44,141.92,10.39,2020-12-02 00:30:00
1,5,1161.58,10.51,22.96,0.02,1.25,120.3,142.37,7.98,2020-12-02 01:30:00
2,5,1161.58,9.28,19.36,0.06,0.91,121.11,140.61,5.89,2020-12-02 02:30:00
3,5,1081.47,3.74,20.91,0.35,0.95,119.69,135.0,5.45,2020-12-02 03:30:00
4,5,1014.71,1.43,18.85,0.69,0.83,119.27,133.07,4.88,2020-12-02 04:30:00
5,5,961.3,0.86,14.74,1.08,0.73,119.67,132.65,4.5,2020-12-02 05:30:00
6,5,921.25,1.09,12.17,1.31,0.78,118.75,131.16,4.12,2020-12-02 06:30:00
7,5,907.9,2.43,11.82,2.26,1.16,117.93,130.81,4.02,2020-12-02 07:30:00
8,5,881.2,4.92,11.14,11.98,1.67,118.39,131.4,4.18,2020-12-02 08:30:00
9,5,614.17,1.26,7.28,70.81,5.54,115.41,124.88,0.86,2020-12-02 09:30:00
10,5,560.76,0.81,5.27,101.57,8.46,120.99,130.23,0.28,2020-12-02 10:30:00
11,5,520.71,0.52,3.94,127.32,13.23,129.44,138.66,0.0,2020-12-02 11:30:00
12,5,383.85,0.35,2.66,138.76,22.65,113.92,120.54,0.0,2020-12-02 12:30:00
13,5,350.48,0.34,2.7,141.62,22.89,101.19,106.63,0.0,2020-12-02 13:30:00
14,5,343.8,0.45,3.98,145.91,29.09,93.72,98.75,0.0,2020-12-02 14:30:00
15,5,387.19,0.75,7.97,134.47,26.94,90.68,96.22,0.75,2020-12-02 15:30:00
16,5,514.03,0.96,17.82,113.01,20.03,90.91,97.89,4.75,2020-12-02 16:30:00
17,5,674.25,0.28,33.59,85.83,13.59,91.77,100.37,7.85,2020-12-02 17:30:00
18,5,807.76,0.0,43.87,58.65,7.21,92.56,103.04,8.87,2020-12-02 18:30:00
19,5,841.14,0.0,41.47,41.84,3.93,93.7,105.71,7.6,2020-12-02 19:30:00
20,5,827.79,0.0,34.96,33.62,2.62,95.54,108.62,6.27,2020-12-02 20:30:00
21,5,794.41,0.0,28.45,30.04,2.03,96.2,109.29,5.57,2020-12-02 21:30:00
22,5,741.01,0.0,22.62,27.54,1.64,94.36,107.1,5.32,2020-12-02 22:30:00
23,5,700.95,0.0,18.17,24.68,1.31,91.53,103.78,5.32,2020-12-02 23:30:00
24,5,674.25,0.01,14.57,21.1,1.01,92.09,104.45,5.83,2020-12-03 00:30:00
25,5,674.25,0.02,12.51,15.74,0.97,94.94,107.99,7.03,2020-12-03 01:30:00
26,5,694.28,0.02,11.48,13.59,1.09,98.26,111.67,8.61,2020-12-03 02:30:00
27,5,714.3,0.02,10.37,12.52,1.12,100.53,113.95,9.25,2020-12-03 03:30:00
28,5,707.63,0.05,8.65,10.19,0.92,101.08,114.28,7.79,2020-12-03 04:30:00
29,5,707.63,0.16,7.54,6.88,0.71,101.4,114.37,6.14,2020-12-03 05:30:00
30,5,720.98,0.84,7.71,3.22,0.69,101.81,115.12,4.81,2020-12-03 06:30:00
