,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
0,5,514.03,0.0,8.05,56.51,4.59,96.13,107.03,8.04,2020-12-02 00:30:00
1,5,547.41,0.0,8.82,40.41,2.62,98.37,109.05,7.22,2020-12-02 01:30:00
2,5,567.44,0.0,9.0,31.11,2.03,100.72,111.29,6.4,2020-12-02 02:30:00
3,5,594.14,0.0,9.08,25.75,1.85,103.26,113.6,5.89,2020-12-02 03:30:00
4,5,614.17,0.01,9.17,21.99,1.77,106.02,116.12,5.57,2020-12-02 04:30:00
5,5,640.87,0.02,9.68,18.06,1.76,109.22,119.57,5.45,2020-12-02 05:30:00
6,5,694.28,0.1,11.31,13.41,2.0,113.01,124.4,5.76,2020-12-02 06:30:00
7,5,801.09,0.64,15.25,9.21,3.04,119.56,133.98,7.98,2020-12-02 07:30:00
8,5,921.25,3.3,17.14,15.38,4.53,126.7,143.56,10.51,2020-12-02 08:30:00
9,5,547.41,0.48,6.43,105.86,15.02,122.83,132.25,1.46,2020-12-02 09:30:00
10,5,527.38,0.43,4.46,120.16,15.5,121.47,131.12,2.57,2020-12-02 10:30:00
11,5,507.36,0.31,3.0,128.75,17.17,114.33,123.64,3.61,2020-12-02 11:30:00
12,5,363.83,0.13,1.29,148.77,17.64,86.94,92.27,0.53,2020-12-02 12:30:00
13,5,330.45,0.11,1.05,150.2,16.69,81.45,85.9,0.0,2020-12-02 13:30:00
14,5,320.44,0.11,1.06,150.2,16.21,79.66,83.93,0.02,2020-12-02 14:30:00
15,5,363.83,0.41,4.11,133.04,14.31,82.38,88.11,4.37,2020-12-02 15:30:00
16,5,447.27,0.6,8.91,113.01,11.92,88.32,96.54,9.63,2020-12-02 16:30:00
17,5,527.38,0.2,14.4,95.84,10.25,93.13,103.45,13.05,2020-12-02 17:30:00
18,5,594.14,0.02,17.31,78.68,9.18,96.95,109.71,16.21,2020-12-02 18:30:00
19,5,654.22,0.0,18.17,60.8,7.87,101.21,117.11,18.49,2020-12-02 19:30:00
20,5,687.6,0.0,18.34,45.78,6.44,104.49,123.19,18.49,2020-12-02 20:30:00
21,5,640.87,0.0,15.42,41.84,5.07,101.33,120.26,16.47,2020-12-02 21:30:00
22,5,600.82,0.0,13.2,39.7,3.87,98.03,116.03,15.07,2020-12-02 22:30:00
23,5,580.79,0.0,12.34,40.77,3.13,96.35,111.79,13.55,2020-12-02 23:30:00
