,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,dt
0,5,988.01,0.1,34.62,9.3,3.31,103.64,120.38,9.12,2020-12-02 00:30:00
1,5,894.55,0.04,26.39,11.0,2.33,99.6,113.66,6.27,2020-12-02 01:30:00
2,5,787.74,0.03,18.34,12.88,1.79,95.15,107.02,4.56,2020-12-02 02:30:00
3,5,680.92,0.02,12.34,15.38,1.51,91.14,100.92,3.55,2020-12-02 03:30:00
4,5,614.17,0.02,9.08,17.17,1.36,88.77,97.16,3.1,2020-12-02 04:30:00
5,5,580.79,0.03,8.05,17.52,1.28,87.92,95.6,3.04,2020-12-02 05:30:00
6,5,587.46,0.07,8.91,16.45,1.54,87.99,95.78,3.07,2020-12-02 06:30:00
7,5,640.87,0.57,12.34,14.84,2.24,90.27,99.33,3.67,2020-12-02 07:30:00
8,5,694.28,3.07,12.34,22.89,2.74,93.29,103.16,5.0,2020-12-02 08:30:00
9,5,473.98,0.71,5.31,87.26,5.6,87.01,93.61,1.79,2020-12-02 09:30:00
10,5,473.98,0.52,3.9,108.72,11.33,103.91,111.77,0.87,2020-12-02 10:30:00
11,5,487.33,0.4,3.38,134.47,17.17,122.71,131.6,0.4,2020-12-02 11:30:00
12,5,403.88,0.79,6.0,158.79,34.33,141.82,149.23,0.0,2020-12-02 12:30:00
13,5,363.83,0.3,2.87,174.52,26.46,125.21,131.02,0.0,2020-12-02 13:30:00
14,5,350.48,0.2,2.01,168.8,18.36,110.57,115.68,0.0,2020-12-02 14:30:00
15,5,397.21,0.52,5.48,150.2,12.52,108.42,114.04,1.03,2020-12-02 15:30:00
16,5,487.33,0.69,11.14,127.32,8.82,109.6,116.67,5.64,2020-12-02 16:30:00
17,5,567.44,0.22,17.48,98.71,6.8,109.55,117.9,8.49,2020-12-02 17:30:00
18,5,627.52,0.0,20.56,76.53,6.32,111.12,120.87,10.89,2020-12-02 18:30:00
19,5,700.95,0.0,21.59,62.94,6.44,114.02,125.39,12.67,2020-12-02 19:30:00
20,5,754.36,0.0,21.08,55.79,6.32,115.92,128.22,13.05,2020-12-02 20:30:00
21,5,787.74,0.0,21.42,51.5,5.84,117.69,130.22,12.41,2020-12-02 21:30:00
22,5,834.47,0.0,24.33,43.63,5.01,121.14,134.02,12.54,2020-12-02 22:30:00
23,5,867.84,0.0,26.05,35.41,3.64,122.58,135.11,12.16,2020-12-02 23:30:00
24,5,734.33,0.0,18.85,42.2,2.8,115.92,126.01,9.12,2020-12-03 00:30:00
25,5,667.57,0.0,13.54,41.13,2.15,115.77,125.16,6.9,2020-12-03 01:30:00
26,5,647.54,0.0,10.8,35.76,1.76,120.29,129.68,5.19,2020-12-03 02:30:00
27,5,634.19,0.0,9.68,28.25,1.39,123.35,133.09,4.43,2020-12-03 03:30:00
28,5,614.17,0.02,9.34,20.56,1.1,122.67,132.53,4.18,2020-12-03 04:30:00
29,5,594.14,0.06,9.77,15.38,1.03,120.55,130.29,4.24,2020-12-03 05:30:00
30,5,620.84,0.41,12.17,9.21,1.31,119.87,130.07,4.05,2020-12-03 06:30:00
31,5,727.65,3.52,16.45,3.67,2.18,121.84,134.02,5.19,2020-12-03 07:30:00
32,5,847.82,10.51,16.62,11.8,3.07,123.23,136.93,7.85,2020-12-03 08:30:00
33,5,487.33,0.88,6.77,104.43,6.32,103.64,110.5,2.28,2020-12-03 09:30:00
34,5,473.98,0.61,4.5,123.02,5.78,102.57,109.43,2.91,2020-12-03 10:30:00
35,5,467.3,0.34,2.91,141.62,8.7,108.09,115.11,2.5,2020-12-03 11:30:00
36,5,367.17,0.17,1.48,144.48,15.74,97.37,102.53,0.08,2020-12-03 12:30:00
37,5,347.14,0.14,1.26,144.48,14.78,91.04,95.56,0.0,2020-12-03 13:30:00
38,5,343.8,0.13,1.24,141.62,12.99,90.62,95.02,0.03,2020-12-03 14:30:00
39,5,413.9,0.55,5.74,128.75,11.44,96.69,102.25,3.26,2020-12-03 15:30:00
40,5,520.71,0.74,12.34,114.44,10.25,107.53,114.83,6.9,2020-12-03 16:30:00
41,5,607.49,0.27,19.02,95.84,9.42,115.56,124.26,9.25,2020-12-03 17:30:00
42,5,667.57,0.0,20.91,78.68,8.82,121.36,131.34,11.02,2020-12-03 18:30:00
43,5,727.65,0.0,20.22,65.8,7.87,125.58,137.07,12.54,2020-12-03 19:30:00
44,5,781.06,0.0,19.54,54.36,6.74,128.92,141.92,13.55,2020-12-03 20:30:00
45,5,841.14,0.0,19.88,42.56,5.78,131.56,145.84,14.69,2020-12-03 21:30:00
46,5,907.9,0.0,22.62,31.83,5.66,134.99,150.67,17.23,2020-12-03 22:30:00
47,5,947.95,0.01,26.05,25.03,5.72,136.5,152.64,21.28,2020-12-03 23:30:00
48,5,921.25,0.01,27.76,23.96,5.25,134.92,150.14,25.59,2020-12-04 00:30:00
49,5,881.2,0.0,25.71,24.32,4.59,133.04,146.98,27.61,2020-12-04 01:30:00
50,5,841.14,0.0,21.94,23.6,3.87,131.5,144.27,26.85,2020-12-04 02:30:00
51,5,794.41,0.01,17.99,22.71,2.92,129.2,140.92,22.55,2020-12-04 03:30:00
52,5,754.36,0.01,15.25,21.64,2.38,126.76,137.91,19.25,2020-12-04 04:30:00
53,5,734.33,0.02,14.4,19.67,2.53,125.25,136.28,16.72,2020-12-04 05:30:00
54,5,774.38,0.16,16.79,14.31,3.22,127.96,140.03,13.81,2020-12-04 06:30:00
55,5,907.9,2.1,22.28,6.8,4.41,135.45,150.08,11.91,2020-12-04 07:30:00
56,5,1068.12,8.49,22.28,12.88,6.8,148.12,164.72,12.54,2020-12-04 08:30:00
57,5,674.25,0.99,8.48,83.69,28.13,140.74,150.26,5.57,2020-12-04 09:30:00
58,5,607.49,0.52,4.5,103.0,19.31,125.3,133.89,6.9,2020-12-04 10:30:00
59,5,554.09,0.28,2.55,111.58,12.4,115.05,122.82,6.9,2020-12-04 11:30:00
60,5,447.27,0.16,1.44,115.87,7.63,96.84,102.63,4.12,2020-12-04 12:30:00
61,5,393.87,0.13,1.16,117.3,5.96,88.58,93.5,2.76,2020-12-04 13:30:00
62,5,373.84,0.12,1.08,118.73,5.25,85.49,90.06,2.34,2020-12-04 14:30:00
63,5,447.27,0.73,6.86,107.29,5.19,89.01,94.91,5.7,2020-12-04 15:30:00
64,5,560.76,0.95,14.57,92.98,5.13,96.18,104.06,9.5,2020-12-04 16:30:00
65,5,647.54,0.24,22.62,70.81,5.19,100.95,110.11,12.03,2020-12-04 17:30:00
66,5,707.63,0.03,26.05,52.93,5.72,104.86,115.3,14.82,2020-12-04 18:30:00
67,5,794.41,0.0,29.47,39.7,6.91,111.11,123.77,19.0,2020-12-04 19:30:00
68,5,934.6,0.0,37.36,26.11,8.58,120.58,136.5,25.33,2020-12-04 20:30:00
69,5,1081.47,0.02,47.3,16.81,9.06,131.44,151.08,30.15,2020-12-04 21:30:00
70,5,1188.28,0.14,51.41,10.82,6.86,140.57,162.31,27.36,2020-12-04 22:30:00
71,5,1174.93,0.24,46.61,8.76,4.05,143.23,163.1,21.28,2020-12-04 23:30:00
