aqi,CO,no2,o3,so2,pm2_5,nh3,dt
5.0,660.9,11.65,14.66,1.8,82.42,10.13,2020-12-01 00:00:00
5.0,707.63,13.88,14.13,2.98,88.98,12.54,2020-12-01 01:00:00
5.0,821.11,19.71,9.92,3.93,98.47,8.87,2020-12-01 02:00:00
5.0,961.3,20.91,13.77,4.77,107.95,8.61,2020-12-01 03:00:00
5.0,527.38,7.54,87.98,38.62,109.87,1.69,2020-12-01 04:00:00
5.0,494.0,5.06,107.29,45.78,111.22,2.01,2020-12-01 05:00:00
5.0,473.98,3.43,125.89,43.39,109.14,2.82,2020-12-01 06:00:00
5.0,340.46,1.67,135.9,23.6,67.32,1.71,2020-12-01 07:00:00
5.0,300.41,1.41,135.9,16.69,53.63,1.36,2020-12-01 08:00:00
4.0,287.06,1.54,138.76,14.42,49.31,1.35,2020-12-01 09:00:00
4.0,310.42,3.6,138.76,12.88,48.93,2.95,2020-12-01 10:00:00
5.0,367.17,7.28,131.61,11.68,51.7,5.45,2020-12-01 11:00:00
5.0,423.91,11.65,120.16,10.85,54.41,7.22,2020-12-01 12:00:00
5.0,473.98,13.37,111.58,10.49,57.62,8.49,2020-12-01 13:00:00
5.0,500.68,12.68,108.72,10.73,62.18,9.12,2020-12-01 14:00:00
5.0,507.36,11.48,108.72,11.68,68.91,9.37,2020-12-01 15:00:00
5.0,494.0,9.51,107.29,12.16,77.54,9.12,2020-12-01 16:00:00
5.0,487.33,8.23,98.71,11.21,85.11,8.87,2020-12-01 17:00:00
5.0,494.0,7.54,92.98,10.25,90.24,8.23,2020-12-01 18:00:00
5.0,520.71,8.91,73.67,6.14,93.47,9.12,2020-12-01 19:00:00
5.0,554.09,10.03,50.78,2.89,96.17,9.25,2020-12-01 20:00:00
5.0,587.46,10.2,35.76,1.89,98.15,8.61,2020-12-01 21:00:00
5.0,607.49,10.37,26.46,1.64,100.64,9.12,2020-12-01 22:00:00
5.0,634.19,10.54,19.67,1.49,102.9,8.74,2020-12-01 23:00:00
5.0,654.22,10.88,14.84,1.48,105.04,8.23,2020-12-02 00:00:00
5.0,700.95,12.85,11.62,1.88,107.97,7.16,2020-12-02 01:00:00
5.0,827.79,18.85,5.45,2.74,113.19,7.47,2020-12-02 02:00:00
5.0,988.01,21.94,7.06,3.64,118.59,10.51,2020-12-02 03:00:00
5.0,594.14,10.45,86.55,11.44,111.84,2.76,2020-12-02 04:00:00
5.0,567.44,7.63,114.44,15.02,116.79,2.22,2020-12-02 05:00:00
5.0,534.06,4.88,134.47,18.84,114.4,2.6,2020-12-02 06:00:00
5.0,383.85,1.99,147.34,21.46,90.92,0.28,2020-12-02 07:00:00
5.0,340.46,1.52,147.34,19.55,82.0,0.0,2020-12-02 08:00:00
5.0,323.77,1.48,148.77,17.17,77.73,0.02,2020-12-02 09:00:00
5.0,350.48,3.9,143.05,15.74,78.46,2.15,2020-12-02 10:00:00
5.0,420.57,8.48,134.47,15.26,83.17,5.07,2020-12-02 11:00:00
5.0,487.33,13.88,124.45,15.26,87.61,6.9,2020-12-02 12:00:00
5.0,580.79,18.51,110.15,14.78,93.55,9.37,2020-12-02 13:00:00
5.0,680.92,21.42,92.98,13.47,101.45,11.78,2020-12-02 14:00:00
5.0,767.71,22.62,76.53,11.56,108.56,12.92,2020-12-02 15:00:00
5.0,794.41,21.76,62.94,9.3,111.97,13.3,2020-12-02 16:00:00
5.0,741.01,18.17,56.51,7.57,109.46,12.67,2020-12-02 17:00:00
5.0,647.54,14.57,55.79,5.9,103.3,11.4,2020-12-02 18:00:00
5.0,614.17,13.54,50.78,3.87,99.56,11.27,2020-12-02 19:00:00
5.0,620.84,13.37,40.41,2.56,100.79,12.03,2020-12-02 20:00:00
5.0,634.19,12.85,33.62,2.38,102.8,11.91,2020-12-02 21:00:00
5.0,654.22,13.02,27.9,2.59,105.77,13.81,2020-12-02 22:00:00
5.0,680.92,13.37,21.99,2.24,108.75,13.3,2020-12-02 23:00:00
5.0,700.95,13.88,18.24,2.09,111.86,14.31,2020-12-03 00:00:00
5.0,734.33,15.94,15.74,2.89,115.24,15.07,2020-12-03 01:00:00
5.0,867.84,21.59,9.12,3.99,121.17,14.95,2020-12-03 02:00:00
5.0,1054.76,22.28,12.16,5.13,128.89,15.33,2020-12-03 03:00:00
5.0,627.52,11.31,95.84,18.6,112.94,5.76,2020-12-03 04:00:00
5.0,614.17,8.23,124.45,25.03,116.72,6.08,2020-12-03 05:00:00
5.0,587.46,5.27,151.63,33.85,127.9,5.26,2020-12-03 06:00:00
5.0,403.88,1.93,165.94,30.52,105.61,0.65,2020-12-03 07:00:00
5.0,363.83,1.44,164.51,23.13,97.84,0.0,2020-12-03 08:00:00
5.0,353.81,1.46,164.51,20.5,95.66,0.0,2020-12-03 09:00:00
5.0,373.84,3.43,158.79,19.31,95.58,1.49,2020-12-03 10:00:00
5.0,420.57,7.03,150.2,18.84,97.55,4.12,2020-12-03 11:00:00
5.0,473.98,11.31,138.76,18.36,99.04,5.76,2020-12-03 12:00:00
5.0,554.09,15.59,120.16,17.17,101.65,8.36,2020-12-03 13:00:00
5.0,647.54,19.02,100.14,15.26,105.69,11.27,2020-12-03 14:00:00
5.0,734.33,20.91,84.4,13.11,109.54,13.05,2020-12-03 15:00:00
5.0,774.38,20.39,70.1,10.73,110.49,13.55,2020-12-03 16:00:00
5.0,747.68,17.99,60.8,8.58,108.16,13.55,2020-12-03 17:00:00
5.0,687.6,15.25,57.94,7.15,106.46,12.67,2020-12-03 18:00:00
5.0,654.22,14.22,52.93,5.78,108.2,12.16,2020-12-03 19:00:00
5.0,654.22,13.71,45.06,4.41,112.47,12.41,2020-12-03 20:00:00
5.0,647.54,12.68,40.77,3.99,117.68,12.67,2020-12-03 21:00:00
5.0,654.22,12.17,36.12,3.55,122.12,13.43,2020-12-03 22:00:00
5.0,674.25,12.34,31.47,3.37,126.31,13.68,2020-12-03 23:00:00
5.0,700.95,12.68,30.76,3.99,130.92,13.43,2020-12-04 00:00:00
5.0,727.65,14.22,37.91,6.2,134.81,12.41,2020-12-04 01:00:00
5.0,834.47,19.88,37.91,7.27,139.0,12.79,2020-12-04 02:00:00
5.0,961.3,22.62,42.56,8.11,143.58,12.79,2020-12-04 03:00:00
5.0,640.87,11.31,100.14,30.04,149.91,2.15,2020-12-04 04:00:00
5.0,620.84,8.4,120.16,37.67,168.01,0.25,2020-12-04 05:00:00
5.0,594.14,5.66,148.77,38.15,184.34,0.0,2020-12-04 06:00:00
5.0,410.56,2.04,165.94,24.56,134.34,0.0,2020-12-04 07:00:00
5.0,353.81,1.48,160.22,17.64,108.85,0.0,2020-12-04 08:00:00
5.0,330.45,1.41,154.5,15.26,96.49,0.0,2020-12-04 09:00:00
5.0,343.8,3.3,148.77,13.95,93.96,0.0,2020-12-04 10:00:00
5.0,397.21,6.94,141.62,13.71,98.19,1.38,2020-12-04 11:00:00
5.0,447.27,11.48,131.61,13.59,99.75,3.45,2020-12-04 12:00:00
5.0,514.03,14.74,117.3,13.35,101.73,5.7,2020-12-04 13:00:00
5.0,580.79,16.62,101.57,12.64,103.91,8.23,2020-12-04 14:00:00
5.0,627.52,17.14,87.98,11.44,104.8,10.26,2020-12-04 15:00:00
5.0,640.87,16.11,72.96,9.54,103.7,11.78,2020-12-04 16:00:00
5.0,654.22,15.94,59.37,7.75,104.63,12.92,2020-12-04 17:00:00
5.0,667.57,16.28,50.07,6.26,107.45,13.05,2020-12-04 18:00:00
5.0,660.9,15.94,43.99,4.59,110.37,12.79,2020-12-04 19:00:00
5.0,654.22,14.57,38.98,3.31,113.52,13.3,2020-12-04 20:00:00
5.0,647.54,13.37,35.76,2.86,116.42,14.82,2020-12-04 21:00:00
5.0,660.9,13.54,34.69,3.49,119.49,21.79,2020-12-04 22:00:00
5.0,680.92,14.4,37.19,4.77,123.59,32.17,2020-12-04 23:00:00
5.0,694.28,15.25,42.2,6.08,126.95,40.03,2020-12-05 00:00:00
5.0,714.3,16.28,48.64,7.75,128.14,42.05,2020-12-05 01:00:00
5.0,781.06,22.28,46.49,10.01,129.26,43.06,2020-12-05 02:00:00
5.0,894.55,27.42,47.21,12.16,133.22,42.05,2020-12-05 03:00:00
5.0,500.68,8.31,118.73,18.6,104.59,7.54,2020-12-05 04:00:00
5.0,487.33,5.57,134.47,20.27,101.54,5.83,2020-12-05 05:00:00
5.0,480.65,3.9,153.07,26.23,106.14,5.19,2020-12-05 06:00:00
5.0,337.12,1.61,151.63,25.51,70.5,1.24,2020-12-05 07:00:00
5.0,303.75,1.14,144.48,19.07,60.46,0.79,2020-12-05 08:00:00
5.0,290.39,1.08,140.19,16.93,56.21,0.89,2020-12-05 09:00:00
5.0,307.08,2.57,133.04,15.5,54.31,2.6,2020-12-05 10:00:00
5.0,347.14,5.57,121.59,14.42,55.3,5.13,2020-12-05 11:00:00
5.0,393.87,9.34,110.15,13.11,56.71,6.9,2020-12-05 12:00:00
5.0,433.92,10.97,98.71,11.8,58.98,8.04,2020-12-05 13:00:00
5.0,440.6,10.11,94.41,10.49,61.06,8.36,2020-12-05 14:00:00
5.0,433.92,8.4,103.0,11.68,67.77,7.98,2020-12-05 15:00:00
5.0,500.68,9.94,100.14,12.4,84.22,9.63,2020-12-05 16:00:00
5.0,607.49,13.37,80.82,9.89,101.04,11.91,2020-12-05 17:00:00
5.0,687.6,15.94,62.94,6.86,113.25,13.05,2020-12-05 18:00:00
5.0,714.3,16.62,49.35,4.47,120.57,13.43,2020-12-05 19:00:00
5.0,700.95,14.91,44.7,3.64,125.59,13.05,2020-12-05 20:00:00
5.0,660.9,11.65,52.21,4.29,128.27,11.78,2020-12-05 21:00:00
5.0,607.49,8.74,65.09,5.13,126.32,10.77,2020-12-05 22:00:00
5.0,607.49,8.82,55.08,3.67,126.98,11.78,2020-12-05 23:00:00
5.0,607.49,9.43,44.7,2.74,127.06,12.67,2020-12-06 00:00:00
5.0,620.84,11.48,34.69,2.59,126.69,13.43,2020-12-06 01:00:00
5.0,707.63,16.45,23.25,3.28,129.74,13.68,2020-12-06 02:00:00
5.0,821.11,17.48,23.6,4.41,133.81,13.17,2020-12-06 03:00:00
5.0,500.68,6.43,114.44,20.27,115.75,3.2,2020-12-06 04:00:00
5.0,473.98,4.41,134.47,24.8,115.31,2.72,2020-12-06 05:00:00
5.0,460.63,3.38,151.63,26.23,117.84,2.91,2020-12-06 06:00:00
5.0,357.15,2.04,153.07,21.7,91.51,0.23,2020-12-06 07:00:00
5.0,317.1,1.69,154.5,17.41,79.51,0.0,2020-12-06 08:00:00
5.0,307.08,1.78,158.79,17.17,77.89,0.0,2020-12-06 09:00:00
5.0,327.11,3.13,160.22,19.07,83.22,0.6,2020-12-06 10:00:00
5.0,370.5,5.48,158.79,21.22,90.91,2.79,2020-12-06 11:00:00
5.0,417.23,8.14,151.63,21.94,97.66,4.69,2020-12-06 12:00:00
5.0,460.63,9.17,144.48,20.74,102.92,6.27,2020-12-06 13:00:00
5.0,480.65,8.74,137.33,18.84,103.67,7.09,2020-12-06 14:00:00
5.0,473.98,7.45,131.61,17.88,102.86,6.84,2020-12-06 15:00:00
5.0,460.63,6.34,125.89,16.45,105.78,6.78,2020-12-06 16:00:00
5.0,480.65,6.43,120.16,14.07,110.61,7.6,2020-12-06 17:00:00
5.0,500.68,6.6,115.87,11.92,114.86,8.04,2020-12-06 18:00:00
5.0,527.38,7.97,95.84,7.63,117.44,9.63,2020-12-06 19:00:00
5.0,560.76,9.25,72.96,4.11,121.48,11.53,2020-12-06 20:00:00
5.0,587.46,9.51,58.65,2.65,124.46,13.05,2020-12-06 21:00:00
5.0,607.49,9.77,48.64,2.24,127.0,14.82,2020-12-06 22:00:00
5.0,627.52,9.85,40.41,1.79,128.76,14.19,2020-12-06 23:00:00
5.0,634.19,9.85,32.9,1.39,130.24,12.03,2020-12-07 00:00:00
5.0,667.57,11.65,24.68,1.51,130.66,10.39,2020-12-07 01:00:00
5.0,781.06,17.31,13.23,2.33,133.82,12.03,2020-12-07 02:00:00
5.0,921.25,18.68,12.16,3.04,137.57,13.05,2020-12-07 03:00:00
5.0,554.09,8.4,87.26,3.58,107.76,5.57,2020-12-07 04:00:00
5.0,560.76,6.68,107.29,4.59,108.34,5.57,2020-12-07 05:00:00
5.0,560.76,4.84,137.33,6.02,113.83,6.08,2020-12-07 06:00:00
5.0,387.19,1.59,137.33,6.08,87.75,1.5,2020-12-07 07:00:00
5.0,343.8,1.18,133.04,6.68,79.93,0.81,2020-12-07 08:00:00
5.0,330.45,1.22,133.04,8.7,76.33,0.8,2020-12-07 09:00:00
5.0,347.14,2.96,133.04,12.28,77.32,2.41,2020-12-07 10:00:00
5.0,400.54,6.08,133.04,15.74,84.94,4.81,2020-12-07 11:00:00
5.0,460.63,9.51,131.61,18.12,93.93,6.4,2020-12-07 12:00:00
5.0,540.73,12.68,124.45,18.84,103.39,8.23,2020-12-07 13:00:00
5.0,614.17,14.57,110.15,17.64,111.08,10.26,2020-12-07 14:00:00
5.0,674.25,15.42,94.41,15.26,116.09,12.03,2020-12-07 15:00:00
5.0,694.28,14.91,76.53,12.04,115.24,13.05,2020-12-07 16:00:00
5.0,687.6,14.4,60.8,8.7,110.69,13.17,2020-12-07 17:00:00
5.0,647.54,13.71,52.21,6.14,105.31,12.41,2020-12-07 18:00:00
5.0,607.49,13.02,47.21,4.77,102.32,11.65,2020-12-07 19:00:00
5.0,600.82,12.51,41.49,4.77,104.0,11.78,2020-12-07 20:00:00
5.0,600.82,12.0,37.91,5.48,108.56,12.16,2020-12-07 21:00:00
