aqi,CO,no2,o3,so2,pm2_5,nh3,dt
5.0,700.95,7.28,14.31,1.62,100.04,6.52,2020-12-01 00:00:00
5.0,741.01,9.0,12.16,1.74,107.63,6.4,2020-12-01 01:00:00
5.0,814.44,13.37,10.55,2.21,114.91,5.32,2020-12-01 02:00:00
5.0,854.49,14.05,25.39,3.43,120.64,4.88,2020-12-01 03:00:00
5.0,567.44,10.54,92.98,22.65,115.97,1.11,2020-12-01 04:00:00
5.0,554.09,14.22,103.0,36.24,118.71,0.07,2020-12-01 05:00:00
5.0,540.73,17.14,115.87,53.88,123.16,0.0,2020-12-01 06:00:00
5.0,420.57,16.62,124.45,60.08,99.78,0.0,2020-12-01 07:00:00
5.0,367.17,16.11,124.45,59.61,83.54,0.0,2020-12-01 08:00:00
5.0,357.15,20.05,118.73,67.71,79.23,0.0,2020-12-01 09:00:00
5.0,433.92,26.05,87.98,50.55,82.1,3.17,2020-12-01 10:00:00
5.0,554.09,32.56,61.51,26.94,86.75,8.11,2020-12-01 11:00:00
5.0,600.82,37.36,50.78,17.17,88.52,11.4,2020-12-01 12:00:00
5.0,667.57,43.18,45.78,14.42,90.38,15.33,2020-12-01 13:00:00
5.0,714.3,43.18,36.12,9.89,93.03,16.72,2020-12-01 14:00:00
5.0,694.28,34.96,26.11,5.25,93.88,14.19,2020-12-01 15:00:00
5.0,767.71,33.59,14.13,3.13,98.21,11.15,2020-12-01 16:00:00
5.0,934.6,36.67,3.4,2.92,106.39,10.89,2020-12-01 17:00:00
5.0,1094.82,34.62,0.18,2.62,114.41,10.89,2020-12-01 18:00:00
5.0,1148.22,28.79,0.02,1.91,118.44,10.39,2020-12-01 19:00:00
5.0,1161.58,22.96,0.02,1.25,120.3,7.98,2020-12-01 20:00:00
5.0,1161.58,19.36,0.06,0.91,121.11,5.89,2020-12-01 21:00:00
5.0,1081.47,20.91,0.35,0.95,119.69,5.45,2020-12-01 22:00:00
5.0,1014.71,18.85,0.69,0.83,119.27,4.88,2020-12-01 23:00:00
5.0,961.3,14.74,1.08,0.73,119.67,4.5,2020-12-02 00:00:00
5.0,921.25,12.17,1.31,0.78,118.75,4.12,2020-12-02 01:00:00
5.0,907.9,11.82,2.26,1.16,117.93,4.02,2020-12-02 02:00:00
5.0,881.2,11.14,11.98,1.67,118.39,4.18,2020-12-02 03:00:00
5.0,614.17,7.28,70.81,5.54,115.41,0.86,2020-12-02 04:00:00
5.0,560.76,5.27,101.57,8.46,120.99,0.28,2020-12-02 05:00:00
5.0,520.71,3.94,127.32,13.23,129.44,0.0,2020-12-02 06:00:00
5.0,383.85,2.66,138.76,22.65,113.92,0.0,2020-12-02 07:00:00
5.0,350.48,2.7,141.62,22.89,101.19,0.0,2020-12-02 08:00:00
5.0,343.8,3.98,145.91,29.09,93.72,0.0,2020-12-02 09:00:00
5.0,387.19,7.97,134.47,26.94,90.68,0.75,2020-12-02 10:00:00
5.0,514.03,17.82,113.01,20.03,90.91,4.75,2020-12-02 11:00:00
5.0,674.25,33.59,85.83,13.59,91.77,7.85,2020-12-02 12:00:00
5.0,807.76,43.87,58.65,7.21,92.56,8.87,2020-12-02 13:00:00
5.0,841.14,41.47,41.84,3.93,93.7,7.6,2020-12-02 14:00:00
5.0,827.79,34.96,33.62,2.62,95.54,6.27,2020-12-02 15:00:00
5.0,794.41,28.45,30.04,2.03,96.2,5.57,2020-12-02 16:00:00
5.0,741.01,22.62,27.54,1.64,94.36,5.32,2020-12-02 17:00:00
5.0,700.95,18.17,24.68,1.31,91.53,5.32,2020-12-02 18:00:00
5.0,674.25,14.57,21.1,1.01,92.09,5.83,2020-12-02 19:00:00
5.0,674.25,12.51,15.74,0.97,94.94,7.03,2020-12-02 20:00:00
5.0,694.28,11.48,13.59,1.09,98.26,8.61,2020-12-02 21:00:00
5.0,714.3,10.37,12.52,1.12,100.53,9.25,2020-12-02 22:00:00
5.0,707.63,8.65,10.19,0.92,101.08,7.79,2020-12-02 23:00:00
5.0,707.63,7.54,6.88,0.71,101.4,6.14,2020-12-03 00:00:00
5.0,720.98,7.71,3.22,0.69,101.81,4.81,2020-12-03 01:00:00
5.0,787.74,9.08,1.25,1.03,102.73,4.18,2020-12-03 02:00:00
5.0,881.2,11.14,6.53,1.54,105.53,4.69,2020-12-03 03:00:00
5.0,600.82,7.54,123.02,23.13,149.01,0.0,2020-12-03 04:00:00
5.0,574.11,5.57,155.93,26.94,161.57,0.0,2020-12-03 05:00:00
5.0,574.11,4.54,181.68,30.99,169.43,0.0,2020-12-03 06:00:00
5.0,460.63,3.38,183.11,30.28,137.5,0.0,2020-12-03 07:00:00
5.0,420.57,3.81,181.68,31.95,119.57,0.0,2020-12-03 08:00:00
5.0,413.9,6.26,185.97,43.87,116.19,0.0,2020-12-03 09:00:00
5.0,514.03,15.25,158.79,37.19,122.04,2.41,2020-12-03 10:00:00
5.0,754.36,31.87,120.16,22.89,131.27,8.23,2020-12-03 11:00:00
5.0,974.66,52.78,85.12,14.9,136.54,12.41,2020-12-03 12:00:00
5.0,1228.33,74.71,51.5,10.73,140.48,15.45,2020-12-03 13:00:00
5.0,1522.06,87.74,21.82,6.74,144.36,14.19,2020-12-03 14:00:00
5.0,1708.98,85.0,5.9,4.17,148.92,9.88,2020-12-03 15:00:00
5.0,1695.63,67.86,4.16,2.95,149.5,6.4,2020-12-03 16:00:00
5.0,1482.01,50.72,6.88,2.33,146.09,5.45,2020-12-03 17:00:00
5.0,1255.04,38.39,10.37,1.83,137.76,4.94,2020-12-03 18:00:00
5.0,988.01,27.42,21.46,1.43,122.49,4.5,2020-12-03 19:00:00
5.0,854.49,20.05,26.82,1.34,116.2,4.31,2020-12-03 20:00:00
5.0,781.06,15.08,30.4,1.48,117.52,4.18,2020-12-03 21:00:00
5.0,754.36,12.17,28.97,1.39,121.25,4.31,2020-12-03 22:00:00
5.0,761.03,10.2,23.6,1.22,126.11,4.62,2020-12-03 23:00:00
5.0,781.06,9.43,18.24,1.21,133.0,5.19,2020-12-04 00:00:00
5.0,827.79,11.14,13.77,1.51,140.78,5.32,2020-12-04 01:00:00
5.0,894.55,15.42,11.98,2.09,146.95,4.69,2020-12-04 02:00:00
5.0,921.25,16.79,24.68,4.41,155.53,4.37,2020-12-04 03:00:00
5.0,700.95,9.43,105.86,23.13,174.93,0.0,2020-12-04 04:00:00
5.0,647.54,6.94,138.76,21.46,179.24,0.0,2020-12-04 05:00:00
5.0,634.19,5.14,170.23,22.17,185.0,0.0,2020-12-04 06:00:00
