aqi,CO,no2,o3,so2,pm2_5,nh3,dt
5.0,700.95,11.14,12.88,2.44,120.77,21.03,2020-12-01 00:00:00
5.0,734.33,13.2,8.14,3.19,121.8,23.81,2020-12-01 01:00:00
5.0,834.47,15.08,2.79,3.61,123.94,16.21,2020-12-01 02:00:00
5.0,947.95,12.34,6.71,3.7,126.46,10.64,2020-12-01 03:00:00
5.0,567.44,7.63,90.12,19.79,113.8,3.17,2020-12-01 04:00:00
5.0,534.06,6.34,118.73,18.84,108.66,3.58,2020-12-01 05:00:00
5.0,540.73,5.31,145.91,17.88,115.03,3.93,2020-12-01 06:00:00
5.0,403.88,2.66,153.07,21.22,92.82,0.54,2020-12-01 07:00:00
5.0,357.15,2.04,145.91,17.64,77.75,0.26,2020-12-01 08:00:00
5.0,350.48,2.29,141.62,15.26,73.32,0.55,2020-12-01 09:00:00
5.0,410.56,6.26,121.59,11.56,76.06,4.18,2020-12-01 10:00:00
5.0,540.73,14.91,97.28,8.46,83.95,8.61,2020-12-01 11:00:00
5.0,694.28,25.71,72.96,7.39,91.81,11.65,2020-12-01 12:00:00
5.0,854.49,34.96,52.93,8.46,101.33,14.69,2020-12-01 13:00:00
5.0,974.66,37.01,42.56,9.78,109.69,15.58,2020-12-01 14:00:00
5.0,1028.06,35.99,37.91,9.54,115.39,13.43,2020-12-01 15:00:00
5.0,1041.41,35.99,34.33,8.11,117.68,12.03,2020-12-01 16:00:00
5.0,1041.41,34.96,29.33,7.15,119.37,14.19,2020-12-01 17:00:00
5.0,1001.36,31.87,23.96,6.32,120.67,17.99,2020-12-01 18:00:00
5.0,934.6,28.1,20.74,5.07,118.95,22.55,2020-12-01 19:00:00
5.0,867.84,24.68,19.49,4.23,117.01,26.6,2020-12-01 20:00:00
5.0,827.79,22.28,18.42,3.93,115.91,30.91,2020-12-01 21:00:00
5.0,794.41,19.19,17.17,3.58,115.64,31.92,2020-12-01 22:00:00
5.0,761.03,15.77,15.2,2.8,115.15,24.07,2020-12-01 23:00:00
5.0,741.01,13.37,12.7,1.94,115.06,12.92,2020-12-02 00:00:00
5.0,741.01,12.68,9.57,1.62,114.57,6.08,2020-12-02 01:00:00
5.0,794.41,14.57,7.15,2.47,118.28,7.09,2020-12-02 02:00:00
5.0,834.47,13.88,16.63,4.11,123.66,10.26,2020-12-02 03:00:00
5.0,547.41,6.6,90.84,15.5,115.1,3.29,2020-12-02 04:00:00
5.0,500.68,4.71,121.59,17.64,107.91,3.14,2020-12-02 05:00:00
5.0,487.33,3.6,150.2,19.07,110.12,3.64,2020-12-02 06:00:00
5.0,367.17,2.42,171.66,17.17,89.26,0.78,2020-12-02 07:00:00
5.0,327.11,2.12,177.38,16.93,80.9,0.01,2020-12-02 08:00:00
5.0,320.44,2.57,185.97,19.55,80.1,0.0,2020-12-02 09:00:00
5.0,360.49,5.83,180.24,21.22,84.4,2.34,2020-12-02 10:00:00
5.0,453.95,12.85,164.51,23.13,92.99,5.95,2020-12-02 11:00:00
5.0,567.44,22.28,143.05,26.94,101.36,8.36,2020-12-02 12:00:00
5.0,741.01,34.62,108.72,29.8,111.68,11.78,2020-12-02 13:00:00
5.0,907.9,42.84,78.68,27.66,123.42,14.57,2020-12-02 14:00:00
5.0,961.3,41.81,62.94,21.94,133.36,14.95,2020-12-02 15:00:00
5.0,907.9,35.3,56.51,16.93,139.23,14.44,2020-12-02 16:00:00
5.0,847.82,29.13,50.78,13.71,141.61,14.82,2020-12-02 17:00:00
5.0,794.41,25.02,45.78,11.33,142.62,16.09,2020-12-02 18:00:00
5.0,741.01,21.42,44.35,10.37,141.86,17.99,2020-12-02 19:00:00
5.0,720.98,19.54,43.99,10.49,144.02,22.8,2020-12-02 20:00:00
5.0,727.65,19.36,41.84,10.25,147.07,29.39,2020-12-02 21:00:00
5.0,754.36,19.71,39.34,10.73,152.95,36.48,2020-12-02 22:00:00
5.0,767.71,19.71,37.91,11.21,157.6,42.05,2020-12-02 23:00:00
5.0,774.38,19.71,35.41,10.25,157.91,44.58,2020-12-03 00:00:00
5.0,787.74,20.39,28.61,8.46,157.04,39.52,2020-12-03 01:00:00
5.0,867.84,22.62,19.31,7.15,160.39,30.15,2020-12-03 02:00:00
5.0,934.6,21.42,22.17,7.87,165.67,22.04,2020-12-03 03:00:00
5.0,540.73,8.82,97.28,35.29,134.83,2.91,2020-12-03 04:00:00
5.0,534.06,7.2,123.02,44.35,131.49,3.1,2020-12-03 05:00:00
5.0,540.73,7.37,154.5,49.59,138.62,3.61,2020-12-03 06:00:00
5.0,400.54,8.57,175.95,48.16,112.94,0.5,2020-12-03 07:00:00
5.0,347.14,5.83,191.69,43.87,102.74,0.0,2020-12-03 08:00:00
5.0,343.8,5.01,203.13,43.87,102.73,0.0,2020-12-03 09:00:00
5.0,410.56,9.17,188.83,40.05,110.36,2.95,2020-12-03 10:00:00
5.0,554.09,19.19,161.65,34.33,121.71,8.11,2020-12-03 11:00:00
5.0,720.98,32.22,130.18,30.52,130.74,11.65,2020-12-03 12:00:00
5.0,907.9,45.24,97.28,29.8,139.03,15.58,2020-12-03 13:00:00
5.0,1054.76,50.72,73.67,27.42,146.22,17.99,2020-12-03 14:00:00
5.0,1108.17,47.98,61.51,22.41,151.58,17.48,2020-12-03 15:00:00
5.0,1068.12,41.13,62.23,21.94,156.96,18.75,2020-12-03 16:00:00
5.0,1028.06,35.99,69.38,25.99,162.89,24.32,2020-12-03 17:00:00
5.0,1001.36,32.22,74.39,29.56,167.35,30.15,2020-12-03 18:00:00
5.0,974.66,28.1,77.96,32.42,169.42,34.96,2020-12-03 19:00:00
5.0,947.95,24.68,78.68,34.33,174.98,40.03,2020-12-03 20:00:00
5.0,921.25,22.28,75.1,35.29,180.3,44.08,2020-12-03 21:00:00
5.0,867.84,19.02,65.8,32.9,180.37,42.05,2020-12-03 22:00:00
5.0,774.38,15.42,55.08,25.51,175.89,32.42,2020-12-03 23:00:00
5.0,694.28,12.68,49.35,16.45,169.01,21.03,2020-12-04 00:00:00
5.0,634.19,10.71,51.5,9.66,155.76,12.41,2020-12-04 01:00:00
5.0,640.87,12.51,50.78,9.06,145.54,10.89,2020-12-04 02:00:00
5.0,667.57,14.05,56.51,17.17,148.04,8.23,2020-12-04 03:00:00
5.0,534.06,8.91,107.29,46.25,152.95,0.23,2020-12-04 04:00:00
5.0,500.68,8.14,137.33,43.87,153.85,0.0,2020-12-04 05:00:00
5.0,473.98,8.31,164.51,43.87,152.77,0.0,2020-12-04 06:00:00
5.0,367.17,6.77,175.95,38.62,112.14,0.0,2020-12-04 07:00:00
5.0,337.12,4.5,183.11,33.38,99.29,0.0,2020-12-04 08:00:00
5.0,340.46,4.46,191.69,34.33,98.86,0.0,2020-12-04 09:00:00
5.0,410.56,9.08,181.68,33.38,105.36,2.76,2020-12-04 10:00:00
5.0,560.76,20.22,157.36,29.8,114.53,7.85,2020-12-04 11:00:00
5.0,714.3,34.62,121.59,24.32,119.94,11.15,2020-12-04 12:00:00
5.0,841.14,44.55,86.55,17.88,119.66,14.69,2020-12-04 13:00:00
