aqi,CO,no2,o3,so2,pm2_5,nh3,dt
5.0,507.36,12.85,10.37,3.93,64.68,14.06,2020-12-01 00:00:00
5.0,527.38,13.2,7.51,3.76,65.5,13.43,2020-12-01 01:00:00
5.0,574.11,15.42,5.41,3.87,66.04,12.54,2020-12-01 02:00:00
5.0,620.84,14.4,13.41,5.01,67.03,11.53,2020-12-01 03:00:00
5.0,494.0,9.25,74.39,20.98,67.29,6.33,2020-12-01 04:00:00
5.0,487.33,8.74,103.0,26.94,72.4,5.76,2020-12-01 05:00:00
5.0,460.63,7.37,135.9,31.47,81.39,4.88,2020-12-01 06:00:00
5.0,310.42,3.43,148.77,24.08,57.66,1.44,2020-12-01 07:00:00
4.0,273.71,2.27,148.77,18.84,49.34,0.79,2020-12-01 08:00:00
4.0,267.03,2.19,150.2,17.88,49.18,0.68,2020-12-01 09:00:00
5.0,293.73,4.24,143.05,16.21,52.99,2.34,2020-12-01 10:00:00
5.0,350.48,9.08,127.32,13.71,58.11,5.07,2020-12-01 11:00:00
5.0,417.23,15.59,110.15,12.28,63.08,7.09,2020-12-01 12:00:00
5.0,494.0,20.91,94.41,11.92,67.69,8.74,2020-12-01 13:00:00
5.0,540.73,22.28,85.83,12.04,72.05,9.5,2020-12-01 14:00:00
5.0,560.76,21.76,79.39,12.16,75.15,9.88,2020-12-01 15:00:00
5.0,574.11,20.56,72.96,12.16,77.6,10.26,2020-12-01 16:00:00
5.0,574.11,19.02,68.67,13.47,79.24,10.39,2020-12-01 17:00:00
5.0,567.44,17.31,66.52,16.45,81.72,10.01,2020-12-01 18:00:00
5.0,547.41,15.42,62.23,17.41,83.26,10.01,2020-12-01 19:00:00
5.0,547.41,14.57,52.93,15.5,85.47,10.64,2020-12-01 20:00:00
5.0,560.76,13.71,46.49,14.66,90.58,10.77,2020-12-01 21:00:00
5.0,554.09,12.0,43.27,14.66,94.05,10.64,2020-12-01 22:00:00
5.0,547.41,10.71,39.34,13.23,95.62,10.64,2020-12-01 23:00:00
5.0,547.41,10.28,33.62,11.56,96.16,10.77,2020-12-02 00:00:00
5.0,560.76,11.14,26.11,9.66,98.16,10.51,2020-12-02 01:00:00
5.0,600.82,13.88,16.99,7.39,96.47,11.27,2020-12-02 02:00:00
5.0,627.52,13.02,22.17,7.21,97.28,10.77,2020-12-02 03:00:00
5.0,487.33,7.88,89.41,30.99,102.18,3.58,2020-12-02 04:00:00
5.0,453.95,7.03,114.44,38.62,98.36,3.36,2020-12-02 05:00:00
5.0,440.6,6.68,138.76,48.16,103.51,2.82,2020-12-02 06:00:00
5.0,343.8,6.68,155.93,59.61,89.19,0.14,2020-12-02 07:00:00
5.0,307.08,3.73,163.08,46.25,80.09,0.0,2020-12-02 08:00:00
5.0,303.75,3.13,170.23,43.39,82.69,0.0,2020-12-02 09:00:00
5.0,333.79,4.97,161.65,39.1,89.8,0.3,2020-12-02 10:00:00
5.0,397.21,9.25,140.19,32.9,96.68,3.14,2020-12-02 11:00:00
5.0,467.3,14.91,117.3,27.18,102.38,5.83,2020-12-02 12:00:00
5.0,567.44,21.25,92.98,22.41,108.9,8.61,2020-12-02 13:00:00
5.0,654.22,26.05,71.53,17.64,115.15,10.89,2020-12-02 14:00:00
5.0,707.63,27.42,59.37,14.66,119.48,11.65,2020-12-02 15:00:00
5.0,741.01,27.42,54.36,13.35,123.76,11.78,2020-12-02 16:00:00
5.0,741.01,25.36,57.22,14.31,124.69,11.02,2020-12-02 17:00:00
5.0,687.6,20.22,68.67,16.69,122.99,9.5,2020-12-02 18:00:00
5.0,620.84,15.25,75.82,16.93,119.31,8.61,2020-12-02 19:00:00
5.0,600.82,13.71,67.23,13.47,117.75,9.5,2020-12-02 20:00:00
5.0,600.82,12.85,58.65,10.13,117.12,10.51,2020-12-02 21:00:00
5.0,600.82,11.82,50.78,7.33,116.78,11.53,2020-12-02 22:00:00
5.0,594.14,10.63,46.49,5.54,117.0,11.78,2020-12-02 23:00:00
5.0,587.46,9.85,43.63,4.77,120.29,11.27,2020-12-03 00:00:00
5.0,594.14,10.71,40.41,4.89,125.09,11.53,2020-12-03 01:00:00
5.0,620.84,13.88,33.62,4.65,123.46,12.41,2020-12-03 02:00:00
5.0,607.49,13.2,40.05,4.53,112.13,11.78,2020-12-03 03:00:00
5.0,453.95,6.51,89.41,7.15,79.54,8.23,2020-12-03 04:00:00
5.0,453.95,5.74,105.86,8.35,74.97,8.36,2020-12-03 05:00:00
5.0,460.63,4.93,127.32,12.28,79.93,7.54,2020-12-03 06:00:00
5.0,380.52,6.43,161.65,48.16,91.32,0.94,2020-12-03 07:00:00
5.0,347.14,4.11,177.38,41.96,91.42,0.0,2020-12-03 08:00:00
5.0,340.46,3.64,188.83,39.1,93.33,0.0,2020-12-03 09:00:00
5.0,363.83,5.57,178.81,35.29,96.32,1.24,2020-12-03 10:00:00
5.0,417.23,9.94,157.36,29.33,100.22,4.37,2020-12-03 11:00:00
5.0,480.65,15.94,133.04,24.56,102.1,6.65,2020-12-03 12:00:00
5.0,567.44,21.59,107.29,21.22,104.45,8.87,2020-12-03 13:00:00
5.0,634.19,25.71,85.12,17.88,107.26,10.64,2020-12-03 14:00:00
5.0,674.25,26.73,67.95,14.78,109.1,11.65,2020-12-03 15:00:00
5.0,707.63,27.08,57.22,13.23,111.56,12.16,2020-12-03 16:00:00
5.0,707.63,25.02,55.08,13.83,112.42,11.78,2020-12-03 17:00:00
5.0,654.22,20.56,59.37,14.42,107.73,10.77,2020-12-03 18:00:00
5.0,594.14,15.59,63.66,12.88,101.79,9.88,2020-12-03 19:00:00
5.0,574.11,13.88,59.37,10.13,99.79,10.51,2020-12-03 20:00:00
5.0,567.44,12.85,55.08,8.23,100.0,11.27,2020-12-03 21:00:00
5.0,560.76,11.48,51.5,6.56,100.3,11.78,2020-12-03 22:00:00
5.0,547.41,10.03,49.35,5.36,100.55,11.91,2020-12-03 23:00:00
5.0,540.73,9.68,45.42,4.89,102.01,12.03,2020-12-04 00:00:00
5.0,554.09,11.31,39.34,5.01,103.85,12.41,2020-12-04 01:00:00
5.0,600.82,15.59,32.19,5.78,104.64,12.29,2020-12-04 02:00:00
5.0,627.52,16.28,42.56,9.54,109.4,10.01,2020-12-04 03:00:00
