aqi,CO,no2,o3,so2,pm2_5,nh3,dt
5.0,634.19,6.51,28.25,2.98,98.62,2.09,2020-12-01 00:00:00
5.0,647.54,7.03,28.25,3.99,98.8,2.19,2020-12-01 01:00:00
5.0,680.92,9.0,27.18,4.95,97.79,2.47,2020-12-01 02:00:00
5.0,700.95,9.43,35.76,6.56,100.17,2.88,2020-12-01 03:00:00
5.0,580.79,4.71,98.71,14.31,115.11,1.06,2020-12-01 04:00:00
5.0,507.36,3.34,113.01,12.28,103.42,0.95,2020-12-01 05:00:00
5.0,433.92,2.57,121.59,11.44,88.61,1.0,2020-12-01 06:00:00
5.0,347.14,1.97,120.16,11.44,70.18,0.26,2020-12-01 07:00:00
5.0,320.44,1.95,115.87,11.09,61.86,0.2,2020-12-01 08:00:00
5.0,313.76,2.01,115.87,10.85,58.81,0.35,2020-12-01 09:00:00
5.0,380.52,8.05,98.71,9.3,60.95,3.8,2020-12-01 10:00:00
5.0,494.0,17.48,78.68,7.39,67.08,7.79,2020-12-01 11:00:00
5.0,600.82,27.42,56.51,6.38,72.79,10.26,2020-12-01 12:00:00
5.0,674.25,31.19,38.98,6.26,77.65,13.17,2020-12-01 13:00:00
5.0,741.01,31.19,28.25,6.38,84.1,15.71,2020-12-01 14:00:00
5.0,814.44,30.85,20.92,6.08,91.31,15.71,2020-12-01 15:00:00
5.0,894.55,30.85,14.48,5.25,97.96,13.05,2020-12-01 16:00:00
5.0,988.01,34.27,7.51,4.41,105.4,10.26,2020-12-01 17:00:00
5.0,1054.76,38.39,5.32,3.79,109.01,9.5,2020-12-01 18:00:00
5.0,988.01,34.62,9.3,3.31,103.64,9.12,2020-12-01 19:00:00
5.0,894.55,26.39,11.0,2.33,99.6,6.27,2020-12-01 20:00:00
5.0,787.74,18.34,12.88,1.79,95.15,4.56,2020-12-01 21:00:00
5.0,680.92,12.34,15.38,1.51,91.14,3.55,2020-12-01 22:00:00
5.0,614.17,9.08,17.17,1.36,88.77,3.1,2020-12-01 23:00:00
5.0,580.79,8.05,17.52,1.28,87.92,3.04,2020-12-02 00:00:00
5.0,587.46,8.91,16.45,1.54,87.99,3.07,2020-12-02 01:00:00
5.0,640.87,12.34,14.84,2.24,90.27,3.67,2020-12-02 02:00:00
